participant,age,gender,Vignette gender,Gift type,Condition value (high v low effort),like_high,like_low,recipient_like_giver,giver_you_like_more,friend,thought,recipient_like_gift,appreciate,gift_you_like_more,recipient_gift,you_gift
4,6,Female,Male character,Cake,High,2,2,0,0,0,-3,0,0,-3,1,1
9,5,Female,Male character,Cake,High,3,3,0,-3,-3,-3,-3,3,-2,1,0
22,6,Female,Male character,Cake,High,3,0,0,-3,3,-3,-3,3,-3,1,0
29,5,Female,Male character,Cake,High,3,0,0,-3,0,-3,3,3,3,0,1
8,6,Male,Male character,Cake,Low,3,0,0,1,0,3,-3,-3,-3,1,0
14,5,Female,Male character,Cake,Low,3,1,1,-3,-2,3,-3,-3,-3,1,0
24,5,Female,Male character,Cake,Low,3,3,0,0,0,3,0,0,0,0,1
3,6,Male,Male character,Art,High,3,1,0,0,-2,-2,-2,2,-2,1,0
11,5,Female,Male character,Art,High,1,3,0,-3,3,-3,-3,-3,-3,0,1
19,6,Female,Male character,Art,High,3,3,0,-3,0,-3,-3,0,-3,1,0
7,6,Male,Male character,Art,Low,-3,1,-1,-3,1,3,-3,3,-3,0,1
15,6,Male,Male character,Art,Low,3,0,-3,2,-1,3,0,3,-1,0,1
28,5,Male,Male character,Art,Low,3,0,0,3,3,3,1,-1,3,0,1
5,6,Male,Female character,Cake,High,2,3,0,-2,0,-2,-3,0,-3,1,0
16,5,Female,Female character,Cake,High,1,2,0,0,0,-2,-3,3,-3,1,1
26,6,Female,Female character,Cake,High,2,3,0,3,-1,-3,3,-1,3,0,1
2,5,Male,Female character,Cake,Low,-3,-3,3,3,3,3,-3,3,-3,0,0
10,6,Female,Female character,Cake,Low,3,2,0,1,1,3,-3,1,-1,0,1
25,5,Female,Female character,Cake,Low,3,3,0,1,0,3,0,1,3,1,0
6,6,Female,Female character,Art,High,3,1,3,2,3,-3,0,3,3,0,0
12,6,Male,Female character,Art,High,3,1,1,3,2,-3,-1,1,-2,0,0
20,5,Male,Female character,Art,High,0,0,0,1,-3,-3,-3,1,0,0,1
1,6,Male,Female character,Art,Low,2,3,0,-2,-2,3,-3,-1,-3,1,1
13,6,Male,Female character,Art,Low,3,0,3,0,3,3,0,3,-1,0,1
17,5,Female,Female character,Art,Low,3,3,0,0,1,2,-1,1,-2,0,1
27,5,Male,Female character,Art,Low,3,-1,0,3,0,3,-3,0,-3,1,0